wall_time,room_id,e2e_send_ts,e2e_sink_arrival_ts,e2e_latency_ms,topic
1776757732.563,room_07,1776757732.454,1776757732.563,109.085,room_temperature_mp
1776757732.563,room_08,1776757732.557,1776757732.563,5.874,room_temperature_mp
1776757732.563,room_08,1776757732.557,1776757732.563,6.353,room_temperature_mp
1776757732.563,room_08,1776757732.555,1776757732.563,7.66,room_temperature_mp
1776757732.66,room_09,1776757732.658,1776757732.66,2.657,room_temperature_mp
1776757732.661,room_09,1776757732.659,1776757732.661,1.935,room_temperature_mp
1776757732.662,room_09,1776757732.66,1776757732.662,1.817,room_temperature_mp
1776757732.762,room_10,1776757732.76,1776757732.762,2.276,room_temperature_mp
1776757732.763,room_10,1776757732.76,1776757732.763,2.421,room_temperature_mp
1776757732.763,room_10,1776757732.761,1776757732.763,1.991,room_temperature_mp
1776757732.864,room_11,1776757732.861,1776757732.864,3.061,room_temperature_mp
1776757732.864,room_11,1776757732.861,1776757732.864,3.426,room_temperature_mp
1776757732.865,room_11,1776757732.862,1776757732.865,3.389,room_temperature_mp
1776757732.965,room_12,1776757732.962,1776757732.965,2.739,room_temperature_mp
1776757732.965,room_12,1776757732.963,1776757732.965,2.248,room_temperature_mp
1776757732.965,room_12,1776757732.963,1776757732.965,2.313,room_temperature_mp
1776757733.073,room_13,1776757733.063,1776757733.073,9.631,room_temperature_mp
1776757733.074,room_13,1776757733.063,1776757733.074,11.296,room_temperature_mp
1776757733.074,room_13,1776757733.068,1776757733.074,5.965,room_temperature_mp
1776757733.17,room_14,1776757733.165,1776757733.17,5.206,room_temperature_mp
1776757733.171,room_14,1776757733.165,1776757733.171,6.215,room_temperature_mp
1776757733.173,room_14,1776757733.17,1776757733.173,2.395,room_temperature_mp
1776757733.268,room_15,1776757733.266,1776757733.268,2.118,room_temperature_mp
1776757733.269,room_15,1776757733.266,1776757733.269,2.771,room_temperature_mp
1776757733.274,room_15,1776757733.271,1776757733.274,2.729,room_temperature_mp
1776757733.369,room_01,1776757733.367,1776757733.369,2.556,room_temperature_mp
1776757733.369,room_01,1776757733.367,1776757733.369,2.729,room_temperature_mp
1776757733.374,room_01,1776757733.372,1776757733.374,2.436,room_temperature_mp
1776757733.483,room_02,1776757733.469,1776757733.483,14.068,room_temperature_mp
1776757733.484,room_02,1776757733.469,1776757733.484,15.576,room_temperature_mp
1776757733.484,room_02,1776757733.479,1776757733.484,5.481,room_temperature_mp
1776757733.576,room_03,1776757733.571,1776757733.576,5.837,room_temperature_mp
1776757733.576,room_03,1776757733.571,1776757733.576,5.009,room_temperature_mp
1776757733.582,room_03,1776757733.58,1776757733.582,2.109,room_temperature_mp
1776757733.677,room_04,1776757733.672,1776757733.677,4.745,room_temperature_mp
1776757733.677,room_04,1776757733.674,1776757733.677,3.126,room_temperature_mp
1776757733.684,room_04,1776757733.681,1776757733.684,2.651,room_temperature_mp
1776757733.778,room_05,1776757733.773,1776757733.778,5.185,room_temperature_mp
1776757733.779,room_05,1776757733.775,1776757733.779,4.313,room_temperature_mp
1776757733.784,room_05,1776757733.782,1776757733.784,2.331,room_temperature_mp
1776757733.877,room_06,1776757733.875,1776757733.877,2.549,room_temperature_mp
