wall_time,room_id,e2e_send_ts,e2e_sink_arrival_ts,e2e_latency_ms,topic
1776722911.589,room_01,1776722911.584,1776722911.589,4.386,room_temperature_mp
1776722911.692,room_02,1776722911.687,1776722911.692,5.332,room_temperature_mp
1776722911.796,room_03,1776722911.79,1776722911.796,5.601,room_temperature_mp
1776722911.899,room_04,1776722911.895,1776722911.899,3.88,room_temperature_mp
1776722912.009,room_05,1776722911.999,1776722912.009,10.088,room_temperature_mp
1776722912.154,room_06,1776722912.101,1776722912.154,53.047,room_temperature_mp
1776722912.205,room_07,1776722912.202,1776722912.205,2.462,room_temperature_mp
1776722912.306,room_08,1776722912.304,1776722912.306,2.16,room_temperature_mp
1776722912.41,room_09,1776722912.404,1776722912.41,5.104,room_temperature_mp
1776722912.512,room_10,1776722912.506,1776722912.512,5.904,room_temperature_mp
1776722912.616,room_11,1776722912.61,1776722912.616,5.742,room_temperature_mp
1776722912.716,room_12,1776722912.712,1776722912.716,4.199,room_temperature_mp
1776722912.815,room_13,1776722912.813,1776722912.815,2.324,room_temperature_mp
1776722912.917,room_14,1776722912.914,1776722912.917,2.332,room_temperature_mp
1776722913.017,room_15,1776722913.015,1776722913.017,2.076,room_temperature_mp
1776722913.119,room_01,1776722913.116,1776722913.119,2.343,room_temperature_mp
1776722913.22,room_02,1776722913.217,1776722913.22,2.463,room_temperature_mp
1776722913.321,room_03,1776722913.319,1776722913.321,1.97,room_temperature_mp
1776722913.422,room_04,1776722913.421,1776722913.422,1.773,room_temperature_mp
1776722913.525,room_05,1776722913.521,1776722913.525,3.272,room_temperature_mp
1776722913.632,room_06,1776722913.624,1776722913.632,7.446,room_temperature_mp
1776722913.727,room_07,1776722913.725,1776722913.727,2.061,room_temperature_mp
1776722913.829,room_08,1776722913.826,1776722913.829,2.585,room_temperature_mp
1776722913.931,room_09,1776722913.927,1776722913.931,4.299,room_temperature_mp
1776722914.033,room_10,1776722914.029,1776722914.033,4.224,room_temperature_mp
1776722914.137,room_11,1776722914.131,1776722914.137,6.049,room_temperature_mp
1776722914.235,room_12,1776722914.233,1776722914.235,1.852,room_temperature_mp
1776722914.343,room_13,1776722914.335,1776722914.343,7.293,room_temperature_mp
1776722914.438,room_14,1776722914.436,1776722914.438,2.213,room_temperature_mp
1776722914.544,room_15,1776722914.538,1776722914.544,5.461,room_temperature_mp
1776722914.644,room_01,1776722914.639,1776722914.644,4.822,room_temperature_mp
1776722914.749,room_02,1776722914.743,1776722914.749,5.891,room_temperature_mp
1776722914.848,room_03,1776722914.846,1776722914.848,1.795,room_temperature_mp
1776722914.949,room_04,1776722914.947,1776722914.949,1.891,room_temperature_mp
1776722915.06,room_05,1776722915.048,1776722915.06,11.949,room_temperature_mp
1776722915.158,room_06,1776722915.149,1776722915.158,8.845,room_temperature_mp
1776722915.259,room_07,1776722915.25,1776722915.259,8.416,room_temperature_mp
1776722915.354,room_08,1776722915.351,1776722915.354,2.489,room_temperature_mp
1776722915.457,room_09,1776722915.454,1776722915.457,3.106,room_temperature_mp
1776722915.564,room_10,1776722915.559,1776722915.564,5.178,room_temperature_mp
1776722915.664,room_11,1776722915.661,1776722915.664,2.865,room_temperature_mp
1776722915.765,room_12,1776722915.762,1776722915.765,2.764,room_temperature_mp
1776722915.866,room_13,1776722915.864,1776722915.866,2.257,room_temperature_mp
1776722915.967,room_14,1776722915.965,1776722915.967,2.281,room_temperature_mp
1776722916.069,room_15,1776722916.067,1776722916.069,1.995,room_temperature_mp
1776722916.176,room_01,1776722916.169,1776722916.176,6.722,room_temperature_mp
1776722916.275,room_02,1776722916.27,1776722916.275,5.176,room_temperature_mp
1776722916.372,room_03,1776722916.371,1776722916.372,1.902,room_temperature_mp
1776722916.476,room_04,1776722916.475,1776722916.476,1.534,room_temperature_mp
1776722916.587,room_05,1776722916.579,1776722916.587,7.708,room_temperature_mp
1776722916.687,room_06,1776722916.682,1776722916.687,5.557,room_temperature_mp
1776722916.785,room_07,1776722916.783,1776722916.785,2.062,room_temperature_mp
1776722916.892,room_08,1776722916.89,1776722916.892,2.044,room_temperature_mp
1776722916.997,room_09,1776722916.992,1776722916.997,5.537,room_temperature_mp
1776722917.1,room_10,1776722917.093,1776722917.1,6.648,room_temperature_mp
1776722917.201,room_11,1776722917.196,1776722917.201,4.746,room_temperature_mp
1776722917.303,room_12,1776722917.298,1776722917.303,5.65,room_temperature_mp
1776722917.407,room_13,1776722917.404,1776722917.407,3.619,room_temperature_mp
1776722917.507,room_14,1776722917.506,1776722917.507,1.95,room_temperature_mp
1776722917.608,room_15,1776722917.606,1776722917.608,2.051,room_temperature_mp
1776722917.712,room_01,1776722917.707,1776722917.712,4.992,room_temperature_mp
1776722917.811,room_02,1776722917.808,1776722917.811,2.573,room_temperature_mp
1776722917.912,room_03,1776722917.91,1776722917.912,2.156,room_temperature_mp
1776722918.014,room_04,1776722918.011,1776722918.014,2.476,room_temperature_mp
