wall_time,room_id,e2e_send_ts,e2e_consumer_done_ts,e2e_sink_arrival_ts,e2e_total_latency_ms,e2e_producer_to_consumer_ms,e2e_consumer_to_sink_ms,topic
1776722961.931,room_05,1776722961.926,1776722961.93,1776722961.931,5.294,3.48,1.81,room_alerts_mp
1776722962.941,room_06,1776722962.932,1776722962.939,1776722962.941,8.338,6.63,1.706,room_alerts_mp
1776722963.938,room_07,1776722963.933,1776722963.935,1776722963.938,4.301,1.98,2.319,room_alerts_mp
1776722964.938,room_08,1776722964.934,1776722964.936,1776722964.938,3.441,1.94,1.501,room_alerts_mp
1776722965.95,room_09,1776722965.938,1776722965.943,1776722965.95,11.151,4.4,6.748,room_alerts_mp
1776722966.947,room_10,1776722966.94,1776722966.945,1776722966.947,6.846,4.74,2.107,room_alerts_mp
1776722967.952,room_11,1776722967.946,1776722967.95,1776722967.952,6.174,4.22,1.951,room_alerts_mp
1776722968.956,room_12,1776722968.95,1776722968.954,1776722968.956,5.339,3.66,1.679,room_alerts_mp
1776722969.969,room_13,1776722969.952,1776722969.956,1776722969.969,17.653,4.15,13.507,room_alerts_mp
1776722970.961,room_14,1776722970.955,1776722970.959,1776722970.961,6.159,4.09,2.072,room_alerts_mp
1776722971.965,room_15,1776722971.958,1776722971.961,1776722971.965,7.116,3.62,3.499,room_alerts_mp
1776722972.97,room_01,1776722972.962,1776722972.968,1776722972.97,7.95,6.01,1.942,room_alerts_mp
1776722973.968,room_02,1776722973.964,1776722973.965,1776722973.968,4.339,1.59,2.753,room_alerts_mp
1776722974.969,room_03,1776722974.965,1776722974.968,1776722974.969,3.844,2.25,1.59,room_alerts_mp
1776722975.971,room_04,1776722975.967,1776722975.969,1776722975.971,4.215,1.81,2.408,room_alerts_mp
1776722977.046,room_05,1776722976.974,1776722976.979,1776722977.046,72.482,4.77,67.716,room_alerts_mp
1776722977.979,room_06,1776722977.975,1776722977.977,1776722977.979,4.283,1.81,2.473,room_alerts_mp
1776722978.986,room_07,1776722978.977,1776722978.983,1776722978.986,9.098,6.83,2.272,room_alerts_mp
1776722979.984,room_08,1776722979.978,1776722979.981,1776722979.984,6.152,3.59,2.562,room_alerts_mp
1776722980.99,room_09,1776722980.983,1776722980.988,1776722980.99,7.598,5.93,1.668,room_alerts_mp
1776722981.999,room_10,1776722981.985,1776722981.997,1776722981.999,14.379,12.1,2.274,room_alerts_mp
1776722982.997,room_11,1776722982.99,1776722982.994,1776722982.997,6.646,4.27,2.377,room_alerts_mp
1776722984.009,room_12,1776722983.994,1776722984.0,1776722984.009,14.563,5.54,9.021,room_alerts_mp
1776722985.002,room_13,1776722984.998,1776722985.0,1776722985.002,3.963,1.98,1.981,room_alerts_mp
1776722986.011,room_14,1776722986.001,1776722986.01,1776722986.011,10.126,8.8,1.322,room_alerts_mp
1776722987.011,room_15,1776722987.008,1776722987.01,1776722987.011,3.814,2.32,1.496,room_alerts_mp
1776722988.027,room_01,1776722988.021,1776722988.023,1776722988.027,5.957,2.29,3.667,room_alerts_mp
1776722989.035,room_02,1776722989.027,1776722989.033,1776722989.035,8.702,6.72,1.981,room_alerts_mp
1776722990.043,room_03,1776722990.028,1776722990.03,1776722990.043,14.946,1.65,13.292,room_alerts_mp
1776722991.038,room_04,1776722991.03,1776722991.035,1776722991.038,8.085,5.21,2.874,room_alerts_mp
1776722992.036,room_05,1776722992.031,1776722992.035,1776722992.036,5.948,4.2,1.752,room_alerts_mp
1776722993.037,room_06,1776722993.032,1776722993.035,1776722993.037,5.472,3.61,1.865,room_alerts_mp
1776722994.038,room_07,1776722994.033,1776722994.037,1776722994.038,5.594,4.12,1.47,room_alerts_mp
1776722995.039,room_08,1776722995.035,1776722995.037,1776722995.039,3.734,1.7,2.039,room_alerts_mp
1776722996.044,room_09,1776722996.037,1776722996.041,1776722996.044,7.056,4.74,2.321,room_alerts_mp
1776722997.045,room_10,1776722997.038,1776722997.043,1776722997.045,6.976,5.31,1.67,room_alerts_mp
1776722998.044,room_11,1776722998.04,1776722998.042,1776722998.044,3.439,1.69,1.751,room_alerts_mp
1776722999.054,room_12,1776722999.047,1776722999.052,1776722999.054,6.694,4.22,2.477,room_alerts_mp
1776723000.053,room_13,1776723000.049,1776723000.051,1776723000.053,3.882,1.72,2.16,room_alerts_mp
1776723001.063,room_14,1776723001.054,1776723001.06,1776723001.063,9.132,6.35,2.778,room_alerts_mp
