wall_time,room_id,e2e_send_ts,e2e_sink_arrival_ts,e2e_latency_ms,topic
1776759978.558,room_04,1776759978.555,1776759978.558,2.455,room_temperature_mp
1776759978.661,room_05,1776759978.656,1776759978.661,4.372,room_temperature_mp
1776759978.76,room_06,1776759978.757,1776759978.76,2.387,room_temperature_mp
1776759978.861,room_07,1776759978.859,1776759978.861,2.559,room_temperature_mp
1776759978.964,room_08,1776759978.962,1776759978.964,1.925,room_temperature_mp
1776759979.071,room_09,1776759979.064,1776759979.071,7.601,room_temperature_mp
1776759979.177,room_10,1776759979.174,1776759979.177,2.413,room_temperature_mp
1776759979.279,room_11,1776759979.276,1776759979.279,2.615,room_temperature_mp
1776759979.38,room_12,1776759979.378,1776759979.38,2.393,room_temperature_mp
1776759979.488,room_13,1776759979.485,1776759979.488,2.923,room_temperature_mp
1776759979.59,room_14,1776759979.587,1776759979.59,2.814,room_temperature_mp
1776759979.697,room_15,1776759979.694,1776759979.697,2.534,room_temperature_mp
1776759979.8,room_01,1776759979.798,1776759979.8,2.051,room_temperature_mp
1776759979.904,room_02,1776759979.899,1776759979.904,4.87,room_temperature_mp
1776759980.003,room_03,1776759980.0,1776759980.003,2.045,room_temperature_mp
1776759980.108,room_04,1776759980.102,1776759980.108,5.808,room_temperature_mp
1776759980.21,room_05,1776759980.206,1776759980.21,4.128,room_temperature_mp
1776759980.317,room_06,1776759980.307,1776759980.317,9.724,room_temperature_mp
1776759980.411,room_07,1776759980.408,1776759980.411,2.568,room_temperature_mp
1776759980.514,room_08,1776759980.511,1776759980.514,3.155,room_temperature_mp
1776759980.614,room_09,1776759980.611,1776759980.614,2.406,room_temperature_mp
1776759980.717,room_10,1776759980.712,1776759980.717,4.19,room_temperature_mp
1776759980.818,room_11,1776759980.813,1776759980.818,5.112,room_temperature_mp
1776759980.917,room_12,1776759980.915,1776759980.917,1.924,room_temperature_mp
1776759981.018,room_13,1776759981.015,1776759981.018,2.859,room_temperature_mp
1776759981.121,room_14,1776759981.118,1776759981.121,3.176,room_temperature_mp
1776759981.224,room_15,1776759981.221,1776759981.224,2.387,room_temperature_mp
1776759981.327,room_01,1776759981.323,1776759981.327,4.072,room_temperature_mp
1776759981.429,room_02,1776759981.426,1776759981.429,2.594,room_temperature_mp
1776759981.534,room_03,1776759981.53,1776759981.534,4.605,room_temperature_mp
1776759981.638,room_04,1776759981.635,1776759981.638,3.603,room_temperature_mp
1776759981.742,room_05,1776759981.737,1776759981.742,4.893,room_temperature_mp
1776759981.847,room_06,1776759981.84,1776759981.847,7.625,room_temperature_mp
1776759981.947,room_07,1776759981.942,1776759981.947,4.652,room_temperature_mp
1776759982.056,room_08,1776759982.049,1776759982.056,7.137,room_temperature_mp
1776759982.152,room_09,1776759982.15,1776759982.152,2.41,room_temperature_mp
1776759982.254,room_10,1776759982.251,1776759982.254,2.538,room_temperature_mp
1776759982.368,room_11,1776759982.361,1776759982.368,7.107,room_temperature_mp
1776759982.469,room_12,1776759982.464,1776759982.469,5.338,room_temperature_mp
1776759982.581,room_13,1776759982.573,1776759982.581,7.849,room_temperature_mp
1776759982.681,room_14,1776759982.676,1776759982.681,5.137,room_temperature_mp
1776759982.781,room_15,1776759982.778,1776759982.781,3.51,room_temperature_mp
1776759982.893,room_01,1776759982.89,1776759982.893,3.533,room_temperature_mp
1776759982.995,room_02,1776759982.991,1776759982.995,4.1,room_temperature_mp
1776759983.096,room_03,1776759983.092,1776759983.096,4.032,room_temperature_mp
1776759983.201,room_04,1776759983.195,1776759983.201,5.897,room_temperature_mp
1776759983.304,room_05,1776759983.296,1776759983.304,7.095,room_temperature_mp
1776759983.4,room_06,1776759983.398,1776759983.4,2.765,room_temperature_mp
1776759983.5,room_07,1776759983.499,1776759983.5,1.821,room_temperature_mp
1776759983.605,room_08,1776759983.601,1776759983.605,4.668,room_temperature_mp
1776759983.711,room_09,1776759983.703,1776759983.711,8.821,room_temperature_mp
1776759983.811,room_10,1776759983.806,1776759983.811,5.556,room_temperature_mp
1776759983.91,room_11,1776759983.908,1776759983.91,1.98,room_temperature_mp
1776759984.011,room_12,1776759984.009,1776759984.011,2.193,room_temperature_mp
1776759984.113,room_13,1776759984.111,1776759984.113,2.288,room_temperature_mp
1776759984.218,room_14,1776759984.211,1776759984.218,6.698,room_temperature_mp
1776759984.318,room_15,1776759984.313,1776759984.318,4.974,room_temperature_mp
1776759984.43,room_01,1776759984.425,1776759984.43,4.768,room_temperature_mp
1776759984.534,room_02,1776759984.528,1776759984.534,5.432,room_temperature_mp
1776759984.635,room_03,1776759984.63,1776759984.635,5.812,room_temperature_mp
1776759984.734,room_04,1776759984.731,1776759984.734,2.592,room_temperature_mp
1776759984.835,room_05,1776759984.832,1776759984.835,2.455,room_temperature_mp
1776759984.936,room_06,1776759984.933,1776759984.936,2.509,room_temperature_mp
1776759985.037,room_07,1776759985.034,1776759985.037,2.995,room_temperature_mp
1776759985.142,room_08,1776759985.136,1776759985.142,6.747,room_temperature_mp
1776759985.245,room_09,1776759985.238,1776759985.245,6.583,room_temperature_mp
1776759985.347,room_10,1776759985.341,1776759985.347,5.814,room_temperature_mp
1776759985.447,room_11,1776759985.443,1776759985.447,3.326,room_temperature_mp
1776759985.547,room_12,1776759985.544,1776759985.547,2.581,room_temperature_mp
1776759985.65,room_13,1776759985.646,1776759985.65,3.589,room_temperature_mp
1776759985.855,room_14,1776759985.747,1776759985.855,108.048,room_temperature_mp
1776759985.856,room_15,1776759985.85,1776759985.856,6.521,room_temperature_mp
1776759985.954,room_01,1776759985.951,1776759985.954,2.816,room_temperature_mp
1776759986.063,room_02,1776759986.054,1776759986.063,9.411,room_temperature_mp
1776759986.161,room_03,1776759986.158,1776759986.161,3.7,room_temperature_mp
1776759986.264,room_04,1776759986.262,1776759986.264,2.049,room_temperature_mp
1776759986.371,room_05,1776759986.363,1776759986.371,7.897,room_temperature_mp
1776759986.467,room_06,1776759986.464,1776759986.467,2.889,room_temperature_mp
1776759986.576,room_07,1776759986.57,1776759986.576,5.424,room_temperature_mp
1776759986.68,room_08,1776759986.673,1776759986.68,7.587,room_temperature_mp
1776759986.779,room_09,1776759986.777,1776759986.779,2.216,room_temperature_mp
1776759986.882,room_10,1776759986.879,1776759986.882,3.701,room_temperature_mp
1776759986.989,room_11,1776759986.985,1776759986.989,3.439,room_temperature_mp
1776759987.088,room_12,1776759987.086,1776759987.088,2.033,room_temperature_mp
