wall_time,room_id,e2e_send_ts,e2e_sink_arrival_ts,e2e_latency_ms,topic
1776760329.569,room_05,1776760329.564,1776760329.569,4.73,room_temperature_mp
1776760329.672,room_06,1776760329.666,1776760329.672,6.277,room_temperature_mp
1776760329.775,room_07,1776760329.771,1776760329.775,3.738,room_temperature_mp
1776760329.878,room_08,1776760329.872,1776760329.878,6.137,room_temperature_mp
1776760329.98,room_09,1776760329.976,1776760329.98,3.997,room_temperature_mp
1776760330.079,room_10,1776760330.077,1776760330.079,2.341,room_temperature_mp
1776760330.183,room_11,1776760330.177,1776760330.183,5.388,room_temperature_mp
1776760330.286,room_12,1776760330.279,1776760330.286,6.893,room_temperature_mp
1776760330.382,room_13,1776760330.38,1776760330.382,2.021,room_temperature_mp
1776760330.483,room_14,1776760330.481,1776760330.483,2.02,room_temperature_mp
1776760330.586,room_15,1776760330.583,1776760330.586,2.493,room_temperature_mp
1776760330.687,room_01,1776760330.684,1776760330.687,2.535,room_temperature_mp
1776760330.788,room_02,1776760330.786,1776760330.788,2.324,room_temperature_mp
1776760330.894,room_03,1776760330.891,1776760330.894,2.578,room_temperature_mp
1776760330.995,room_04,1776760330.992,1776760330.995,2.057,room_temperature_mp
1776760331.099,room_05,1776760331.096,1776760331.099,2.723,room_temperature_mp
1776760331.201,room_06,1776760331.199,1776760331.201,2.828,room_temperature_mp
1776760331.304,room_07,1776760331.301,1776760331.304,2.659,room_temperature_mp
1776760331.405,room_08,1776760331.402,1776760331.405,2.544,room_temperature_mp
1776760331.507,room_09,1776760331.505,1776760331.507,2.934,room_temperature_mp
1776760331.611,room_10,1776760331.609,1776760331.611,2.288,room_temperature_mp
1776760331.717,room_11,1776760331.713,1776760331.717,4.536,room_temperature_mp
1776760331.816,room_12,1776760331.814,1776760331.816,2.003,room_temperature_mp
1776760331.923,room_13,1776760331.916,1776760331.923,7.442,room_temperature_mp
1776760332.02,room_14,1776760332.017,1776760332.02,3.116,room_temperature_mp
1776760332.123,room_15,1776760332.118,1776760332.123,4.484,room_temperature_mp
1776760332.226,room_01,1776760332.22,1776760332.226,6.553,room_temperature_mp
1776760332.324,room_02,1776760332.322,1776760332.324,2.614,room_temperature_mp
1776760332.425,room_03,1776760332.422,1776760332.425,2.891,room_temperature_mp
1776760332.528,room_04,1776760332.525,1776760332.528,2.754,room_temperature_mp
1776760332.63,room_05,1776760332.627,1776760332.63,3.587,room_temperature_mp
1776760332.733,room_06,1776760332.727,1776760332.733,5.985,room_temperature_mp
1776760332.832,room_07,1776760332.829,1776760332.832,2.747,room_temperature_mp
