wall_time,room_id,e2e_send_ts,e2e_consumer_done_ts,e2e_sink_arrival_ts,e2e_total_latency_ms,e2e_producer_to_consumer_ms,e2e_consumer_to_sink_ms,topic
1776760321.402,room_07,1776760321.396,1776760321.398,1776760321.402,5.558,2.14,3.422,room_alerts_mp
1776760322.402,room_08,1776760322.397,1776760322.4,1776760322.402,4.671,2.36,2.31,room_alerts_mp
1776760323.41,room_09,1776760323.403,1776760323.408,1776760323.41,7.538,4.78,2.762,room_alerts_mp
1776760324.409,room_10,1776760324.404,1776760324.407,1776760324.409,4.699,2.28,2.419,room_alerts_mp
1776760325.418,room_11,1776760325.405,1776760325.407,1776760325.418,12.597,2.06,10.536,room_alerts_mp
1776760326.412,room_12,1776760326.406,1776760326.409,1776760326.412,5.133,2.34,2.79,room_alerts_mp
1776760327.413,room_13,1776760327.408,1776760327.41,1776760327.413,4.932,2.05,2.882,room_alerts_mp
1776760328.413,room_14,1776760328.409,1776760328.412,1776760328.413,4.222,2.26,1.963,room_alerts_mp
1776760329.419,room_15,1776760329.412,1776760329.417,1776760329.419,7.358,4.89,2.465,room_alerts_mp
1776760330.416,room_01,1776760330.412,1776760330.414,1776760330.416,4.078,1.85,2.233,room_alerts_mp
1776760331.417,room_02,1776760331.414,1776760331.415,1776760331.417,3.39,1.92,1.473,room_alerts_mp
1776760332.423,room_03,1776760332.416,1776760332.421,1776760332.423,7.005,4.89,2.117,room_alerts_mp
1776760333.427,room_04,1776760333.418,1776760333.424,1776760333.427,8.748,6.4,2.351,room_alerts_mp
1776760334.425,room_05,1776760334.421,1776760334.423,1776760334.425,4.349,2.2,2.147,room_alerts_mp
1776760335.427,room_06,1776760335.422,1776760335.425,1776760335.427,4.717,2.18,2.541,room_alerts_mp
1776760336.428,room_07,1776760336.423,1776760336.426,1776760336.428,4.346,2.6,1.742,room_alerts_mp
1776760337.469,room_08,1776760337.424,1776760337.431,1776760337.469,44.764,6.39,38.375,room_alerts_mp
1776760338.435,room_09,1776760338.427,1776760338.432,1776760338.435,7.588,5.27,2.322,room_alerts_mp
1776760339.438,room_10,1776760339.429,1776760339.435,1776760339.438,9.08,5.96,3.122,room_alerts_mp
1776760340.438,room_11,1776760340.43,1776760340.435,1776760340.438,7.964,5.28,2.683,room_alerts_mp
1776760341.437,room_12,1776760341.432,1776760341.434,1776760341.437,4.38,2.03,2.351,room_alerts_mp
1776760342.446,room_13,1776760342.437,1776760342.442,1776760342.446,9.17,5.49,3.678,room_alerts_mp
1776760343.442,room_14,1776760343.438,1776760343.44,1776760343.442,3.867,1.9,1.965,room_alerts_mp
1776760344.451,room_15,1776760344.443,1776760344.449,1776760344.451,8.607,6.83,1.778,room_alerts_mp
1776760345.453,room_01,1776760345.445,1776760345.45,1776760345.453,8.179,5.2,2.981,room_alerts_mp
1776760346.452,room_02,1776760346.446,1776760346.45,1776760346.452,6.324,3.99,2.33,room_alerts_mp
1776760347.453,room_03,1776760347.449,1776760347.451,1776760347.453,4.045,2.09,1.952,room_alerts_mp
1776760348.458,room_04,1776760348.451,1776760348.456,1776760348.458,7.118,4.64,2.474,room_alerts_mp
1776760349.461,room_05,1776760349.454,1776760349.458,1776760349.461,6.815,4.45,2.361,room_alerts_mp
1776760350.461,room_06,1776760350.457,1776760350.459,1776760350.461,4.113,1.98,2.13,room_alerts_mp
1776760351.469,room_07,1776760351.461,1776760351.466,1776760351.469,8.311,5.33,2.985,room_alerts_mp
1776760352.475,room_08,1776760352.467,1776760352.472,1776760352.475,8.096,5.39,2.707,room_alerts_mp
1776760353.482,room_09,1776760353.471,1776760353.48,1776760353.482,10.917,9.27,1.649,room_alerts_mp
1776760354.48,room_10,1776760354.473,1776760354.478,1776760354.48,6.495,4.6,1.9,room_alerts_mp
1776760355.481,room_11,1776760355.475,1776760355.479,1776760355.481,6.322,4.21,2.109,room_alerts_mp
1776760356.48,room_12,1776760356.476,1776760356.477,1776760356.48,4.177,1.62,2.56,room_alerts_mp
1776760357.49,room_13,1776760357.485,1776760357.488,1776760357.49,5.903,3.84,2.063,room_alerts_mp
1776760358.495,room_14,1776760358.486,1776760358.492,1776760358.495,8.456,6.18,2.278,room_alerts_mp
1776760359.505,room_15,1776760359.491,1776760359.495,1776760359.505,13.597,4.16,9.441,room_alerts_mp
1776760360.498,room_01,1776760360.493,1776760360.497,1776760360.498,5.132,3.69,1.442,room_alerts_mp
1776760361.498,room_02,1776760361.494,1776760361.496,1776760361.498,4.401,1.76,2.637,room_alerts_mp
1776760362.5,room_03,1776760362.495,1776760362.498,1776760362.5,4.672,2.82,1.848,room_alerts_mp
1776760363.505,room_04,1776760363.498,1776760363.503,1776760363.505,6.669,4.68,1.993,room_alerts_mp
