wall_time,room_id,e2e_send_ts,e2e_consumer_done_ts,e2e_sink_arrival_ts,e2e_total_latency_ms,e2e_producer_to_consumer_ms,e2e_consumer_to_sink_ms,topic
1776759678.092,room_05,1776759678.084,1776759678.09,1776759678.092,8.056,5.96,2.095,room_alerts_mp
1776759679.101,room_06,1776759679.089,1776759679.091,1776759679.101,11.821,2.01,9.81,room_alerts_mp
1776759680.098,room_07,1776759680.09,1776759680.095,1776759680.098,7.271,4.95,2.326,room_alerts_mp
1776759681.106,room_08,1776759681.093,1776759681.104,1776759681.106,13.761,11.42,2.338,room_alerts_mp
1776759682.105,room_09,1776759682.097,1776759682.102,1776759682.105,7.14,5.04,2.098,room_alerts_mp
1776759683.108,room_10,1776759683.102,1776759683.106,1776759683.108,6.392,4.31,2.084,room_alerts_mp
1776759684.114,room_11,1776759684.107,1776759684.112,1776759684.114,7.693,4.79,2.908,room_alerts_mp
1776759685.119,room_12,1776759685.11,1776759685.116,1776759685.119,8.209,5.48,2.733,room_alerts_mp
1776759686.123,room_13,1776759686.112,1776759686.116,1776759686.123,10.758,3.99,6.767,room_alerts_mp
1776759687.121,room_14,1776759687.114,1776759687.118,1776759687.121,6.559,4.18,2.382,room_alerts_mp
1776759688.119,room_15,1776759688.116,1776759688.118,1776759688.119,2.992,1.52,1.469,room_alerts_mp
1776759689.13,room_01,1776759689.118,1776759689.128,1776759689.13,12.595,10.33,2.264,room_alerts_mp
1776759690.129,room_02,1776759690.12,1776759690.125,1776759690.129,8.803,5.35,3.457,room_alerts_mp
1776759691.131,room_03,1776759691.122,1776759691.128,1776759691.131,8.238,5.67,2.563,room_alerts_mp
1776759692.17,room_04,1776759692.128,1776759692.133,1776759692.17,42.698,5.61,37.086,room_alerts_mp
1776759693.136,room_05,1776759693.13,1776759693.133,1776759693.136,6.884,3.72,3.161,room_alerts_mp
1776759694.156,room_06,1776759694.133,1776759694.154,1776759694.156,23.536,21.45,2.09,room_alerts_mp
1776759695.141,room_07,1776759695.136,1776759695.139,1776759695.141,4.604,2.88,1.728,room_alerts_mp
1776759696.145,room_08,1776759696.141,1776759696.143,1776759696.145,4.828,2.37,2.462,room_alerts_mp
1776759697.153,room_09,1776759697.147,1776759697.151,1776759697.153,6.857,4.83,2.023,room_alerts_mp
1776759698.17,room_10,1776759698.15,1776759698.153,1776759698.17,20.342,2.6,17.743,room_alerts_mp
1776759699.155,room_11,1776759699.151,1776759699.153,1776759699.155,3.228,1.59,1.635,room_alerts_mp
1776759700.16,room_12,1776759700.153,1776759700.158,1776759700.16,7.31,5.5,1.814,room_alerts_mp
1776759701.158,room_13,1776759701.154,1776759701.156,1776759701.158,3.601,1.71,1.896,room_alerts_mp
1776759702.16,room_14,1776759702.155,1776759702.158,1776759702.16,4.967,2.83,2.141,room_alerts_mp
1776759703.162,room_15,1776759703.156,1776759703.159,1776759703.162,5.536,3.3,2.237,room_alerts_mp
1776759704.167,room_01,1776759704.157,1776759704.162,1776759704.167,10.035,5.19,4.848,room_alerts_mp
