wall_time,room_id,e2e_send_ts,e2e_sink_arrival_ts,e2e_latency_ms,topic
1776759627.672,room_01,1776759627.669,1776759627.672,2.698,room_temperature_mp
1776759627.773,room_02,1776759627.771,1776759627.773,2.319,room_temperature_mp
1776759627.876,room_03,1776759627.873,1776759627.876,2.281,room_temperature_mp
1776759627.977,room_04,1776759627.974,1776759627.977,2.598,room_temperature_mp
1776759628.077,room_05,1776759628.076,1776759628.077,1.963,room_temperature_mp
1776759628.185,room_06,1776759628.179,1776759628.185,6.469,room_temperature_mp
1776759628.282,room_07,1776759628.279,1776759628.282,2.435,room_temperature_mp
1776759628.386,room_08,1776759628.38,1776759628.386,6.098,room_temperature_mp
1776759628.488,room_09,1776759628.481,1776759628.488,6.489,room_temperature_mp
1776759628.585,room_10,1776759628.583,1776759628.585,2.642,room_temperature_mp
1776759628.688,room_11,1776759628.684,1776759628.688,4.102,room_temperature_mp
1776759628.788,room_12,1776759628.785,1776759628.788,2.605,room_temperature_mp
1776759628.894,room_13,1776759628.888,1776759628.894,6.845,room_temperature_mp
1776759628.995,room_14,1776759628.99,1776759628.995,4.815,room_temperature_mp
1776759629.096,room_15,1776759629.093,1776759629.096,2.307,room_temperature_mp
1776759629.199,room_01,1776759629.197,1776759629.199,1.899,room_temperature_mp
1776759629.301,room_02,1776759629.299,1776759629.301,2.055,room_temperature_mp
1776759629.403,room_03,1776759629.4,1776759629.403,2.813,room_temperature_mp
1776759629.502,room_04,1776759629.5,1776759629.502,1.961,room_temperature_mp
1776759629.614,room_05,1776759629.607,1776759629.614,6.909,room_temperature_mp
1776759629.718,room_06,1776759629.709,1776759629.718,8.697,room_temperature_mp
1776759629.813,room_07,1776759629.811,1776759629.813,2.752,room_temperature_mp
1776759629.919,room_08,1776759629.915,1776759629.919,4.076,room_temperature_mp
1776759630.019,room_09,1776759630.016,1776759630.019,2.438,room_temperature_mp
1776759630.121,room_10,1776759630.119,1776759630.121,2.223,room_temperature_mp
1776759630.227,room_11,1776759630.224,1776759630.227,2.787,room_temperature_mp
1776759630.33,room_12,1776759630.326,1776759630.33,4.095,room_temperature_mp
1776759630.45,room_13,1776759630.447,1776759630.45,3.748,room_temperature_mp
1776759630.562,room_14,1776759630.549,1776759630.562,13.344,room_temperature_mp
1776759630.67,room_15,1776759630.653,1776759630.67,17.108,room_temperature_mp
1776759630.766,room_01,1776759630.761,1776759630.766,5.436,room_temperature_mp
1776759630.872,room_02,1776759630.869,1776759630.872,2.601,room_temperature_mp
1776759630.973,room_03,1776759630.971,1776759630.973,1.877,room_temperature_mp
1776759631.075,room_04,1776759631.072,1776759631.075,2.552,room_temperature_mp
1776759631.176,room_05,1776759631.173,1776759631.176,2.593,room_temperature_mp
1776759631.276,room_06,1776759631.274,1776759631.276,2.156,room_temperature_mp
1776759631.382,room_07,1776759631.38,1776759631.382,2.186,room_temperature_mp
1776759631.488,room_08,1776759631.483,1776759631.488,4.954,room_temperature_mp
1776759631.59,room_09,1776759631.584,1776759631.59,6.431,room_temperature_mp
1776759631.69,room_10,1776759631.686,1776759631.69,3.428,room_temperature_mp
1776759631.793,room_11,1776759631.787,1776759631.793,5.845,room_temperature_mp
1776759631.893,room_12,1776759631.888,1776759631.893,4.659,room_temperature_mp
1776759631.997,room_13,1776759631.991,1776759631.997,5.697,room_temperature_mp
1776759632.196,room_14,1776759632.093,1776759632.196,103.207,room_temperature_mp
1776759632.196,room_15,1776759632.193,1776759632.196,2.84,room_temperature_mp
1776759632.3,room_01,1776759632.295,1776759632.3,5.125,room_temperature_mp
1776759632.404,room_02,1776759632.397,1776759632.404,7.549,room_temperature_mp
1776759632.501,room_03,1776759632.498,1776759632.501,2.478,room_temperature_mp
1776759632.605,room_04,1776759632.6,1776759632.605,4.997,room_temperature_mp
1776759632.708,room_05,1776759632.703,1776759632.708,5.254,room_temperature_mp
1776759632.81,room_06,1776759632.805,1776759632.81,4.887,room_temperature_mp
1776759632.915,room_07,1776759632.907,1776759632.915,7.595,room_temperature_mp
1776759633.011,room_08,1776759633.009,1776759633.011,2.535,room_temperature_mp
1776759633.115,room_09,1776759633.11,1776759633.115,4.974,room_temperature_mp
1776759633.217,room_10,1776759633.213,1776759633.217,3.957,room_temperature_mp
1776759633.319,room_11,1776759633.314,1776759633.319,5.297,room_temperature_mp
1776759633.418,room_12,1776759633.416,1776759633.418,1.762,room_temperature_mp
1776759633.523,room_13,1776759633.519,1776759633.523,3.662,room_temperature_mp
1776759633.623,room_14,1776759633.62,1776759633.623,2.564,room_temperature_mp
1776759633.726,room_15,1776759633.72,1776759633.726,5.535,room_temperature_mp
1776759633.826,room_01,1776759633.824,1776759633.826,2.364,room_temperature_mp
1776759633.927,room_02,1776759633.924,1776759633.927,2.485,room_temperature_mp
1776759634.028,room_03,1776759634.026,1776759634.028,2.213,room_temperature_mp
1776759634.131,room_04,1776759634.128,1776759634.131,3.366,room_temperature_mp
1776759634.23,room_05,1776759634.228,1776759634.23,2.03,room_temperature_mp
1776759634.333,room_06,1776759634.33,1776759634.333,2.179,room_temperature_mp
1776759634.434,room_07,1776759634.431,1776759634.434,2.349,room_temperature_mp
1776759634.535,room_08,1776759634.533,1776759634.535,2.623,room_temperature_mp
1776759634.64,room_09,1776759634.635,1776759634.64,5.316,room_temperature_mp
1776759634.741,room_10,1776759634.736,1776759634.741,5.017,room_temperature_mp
1776759634.847,room_11,1776759634.843,1776759634.847,4.145,room_temperature_mp
1776759634.95,room_12,1776759634.944,1776759634.95,6.082,room_temperature_mp
1776759635.052,room_13,1776759635.046,1776759635.052,5.834,room_temperature_mp
1776759635.149,room_14,1776759635.146,1776759635.149,2.199,room_temperature_mp
1776759635.251,room_15,1776759635.247,1776759635.251,3.603,room_temperature_mp
1776759635.356,room_01,1776759635.35,1776759635.356,5.849,room_temperature_mp
1776759635.459,room_02,1776759635.452,1776759635.459,6.249,room_temperature_mp
1776759635.559,room_03,1776759635.553,1776759635.559,5.929,room_temperature_mp
1776759635.658,room_04,1776759635.655,1776759635.658,3.151,room_temperature_mp
1776759635.759,room_05,1776759635.757,1776759635.759,2.168,room_temperature_mp
1776759635.864,room_06,1776759635.858,1776759635.864,6.583,room_temperature_mp
1776759635.967,room_07,1776759635.961,1776759635.967,6.331,room_temperature_mp
1776759636.07,room_08,1776759636.066,1776759636.07,4.18,room_temperature_mp
1776759636.181,room_09,1776759636.168,1776759636.181,12.556,room_temperature_mp
1776759636.276,room_10,1776759636.271,1776759636.276,4.208,room_temperature_mp
1776759636.38,room_11,1776759636.376,1776759636.38,4.74,room_temperature_mp
1776759636.478,room_12,1776759636.476,1776759636.478,1.787,room_temperature_mp
1776759636.579,room_13,1776759636.577,1776759636.579,1.976,room_temperature_mp
1776759636.781,room_14,1776759636.679,1776759636.781,102.902,room_temperature_mp
1776759636.782,room_15,1776759636.779,1776759636.782,2.693,room_temperature_mp
1776759636.889,room_01,1776759636.884,1776759636.889,5.286,room_temperature_mp
1776759636.988,room_02,1776759636.986,1776759636.988,2.127,room_temperature_mp
1776759637.094,room_03,1776759637.087,1776759637.094,7.038,room_temperature_mp
1776759637.195,room_04,1776759637.19,1776759637.195,4.65,room_temperature_mp
1776759637.294,room_05,1776759637.292,1776759637.294,2.134,room_temperature_mp
1776759637.4,room_06,1776759637.394,1776759637.4,5.765,room_temperature_mp
1776759637.498,room_07,1776759637.495,1776759637.498,2.615,room_temperature_mp
1776759637.603,room_08,1776759637.597,1776759637.603,5.854,room_temperature_mp
1776759637.701,room_09,1776759637.698,1776759637.701,2.86,room_temperature_mp
1776759637.808,room_10,1776759637.8,1776759637.808,8.401,room_temperature_mp
1776759637.909,room_11,1776759637.903,1776759637.909,6.429,room_temperature_mp
1776759638.009,room_12,1776759638.007,1776759638.009,2.215,room_temperature_mp
1776759638.116,room_13,1776759638.11,1776759638.116,5.771,room_temperature_mp
1776759638.213,room_14,1776759638.211,1776759638.213,2.325,room_temperature_mp
1776759638.315,room_15,1776759638.313,1776759638.315,2.137,room_temperature_mp
1776759638.417,room_01,1776759638.415,1776759638.417,2.566,room_temperature_mp
1776759638.518,room_02,1776759638.516,1776759638.518,1.788,room_temperature_mp
1776759638.627,room_03,1776759638.62,1776759638.627,6.507,room_temperature_mp
1776759638.726,room_04,1776759638.722,1776759638.726,3.85,room_temperature_mp
1776759638.83,room_05,1776759638.824,1776759638.83,5.599,room_temperature_mp
1776759638.936,room_06,1776759638.93,1776759638.936,6.237,room_temperature_mp
1776759639.033,room_07,1776759639.031,1776759639.033,2.051,room_temperature_mp
1776759639.143,room_08,1776759639.137,1776759639.143,6.171,room_temperature_mp
1776759639.243,room_09,1776759639.239,1776759639.243,3.911,room_temperature_mp
1776759639.346,room_10,1776759639.34,1776759639.346,6.15,room_temperature_mp
1776759639.444,room_11,1776759639.442,1776759639.444,1.973,room_temperature_mp
1776759639.545,room_12,1776759639.543,1776759639.545,1.866,room_temperature_mp
1776759639.648,room_13,1776759639.646,1776759639.648,1.856,room_temperature_mp
1776759639.75,room_14,1776759639.747,1776759639.75,2.174,room_temperature_mp
1776759639.857,room_15,1776759639.85,1776759639.857,6.599,room_temperature_mp
1776759639.959,room_01,1776759639.954,1776759639.959,4.972,room_temperature_mp
1776759640.06,room_02,1776759640.055,1776759640.06,5.129,room_temperature_mp
1776759640.162,room_03,1776759640.156,1776759640.162,5.748,room_temperature_mp
1776759640.26,room_04,1776759640.258,1776759640.26,1.816,room_temperature_mp
1776759640.365,room_05,1776759640.364,1776759640.365,1.763,room_temperature_mp
1776759640.47,room_06,1776759640.465,1776759640.47,5.031,room_temperature_mp
1776759640.569,room_07,1776759640.567,1776759640.569,2.345,room_temperature_mp
1776759640.671,room_08,1776759640.668,1776759640.671,3.094,room_temperature_mp
1776759640.775,room_09,1776759640.771,1776759640.775,3.916,room_temperature_mp
1776759640.877,room_10,1776759640.872,1776759640.877,4.726,room_temperature_mp
1776759640.982,room_11,1776759640.978,1776759640.982,3.976,room_temperature_mp
1776759641.086,room_12,1776759641.08,1776759641.086,6.448,room_temperature_mp
1776759641.185,room_13,1776759641.183,1776759641.185,2.36,room_temperature_mp
1776759641.294,room_14,1776759641.288,1776759641.294,5.247,room_temperature_mp
1776759641.395,room_15,1776759641.39,1776759641.395,4.675,room_temperature_mp
1776759641.497,room_01,1776759641.492,1776759641.497,4.732,room_temperature_mp
1776759641.599,room_02,1776759641.597,1776759641.599,2.228,room_temperature_mp
1776759641.701,room_03,1776759641.699,1776759641.701,2.29,room_temperature_mp
1776759641.802,room_04,1776759641.8,1776759641.802,2.126,room_temperature_mp
1776759641.906,room_05,1776759641.904,1776759641.906,2.45,room_temperature_mp
1776759642.007,room_06,1776759642.005,1776759642.007,2.198,room_temperature_mp
1776759642.11,room_07,1776759642.107,1776759642.11,2.819,room_temperature_mp
1776759642.212,room_08,1776759642.21,1776759642.212,1.965,room_temperature_mp
1776759642.317,room_09,1776759642.314,1776759642.317,3.411,room_temperature_mp
1776759642.42,room_10,1776759642.416,1776759642.42,3.858,room_temperature_mp
1776759642.521,room_11,1776759642.519,1776759642.521,1.995,room_temperature_mp
1776759642.622,room_12,1776759642.62,1776759642.622,2.275,room_temperature_mp
1776759642.724,room_13,1776759642.722,1776759642.724,2.204,room_temperature_mp
1776759642.827,room_14,1776759642.824,1776759642.827,2.492,room_temperature_mp
1776759642.94,room_15,1776759642.93,1776759642.94,10.228,room_temperature_mp
1776759643.039,room_01,1776759643.034,1776759643.039,5.109,room_temperature_mp
1776759643.143,room_02,1776759643.139,1776759643.143,3.449,room_temperature_mp
1776759643.247,room_03,1776759643.242,1776759643.247,5.082,room_temperature_mp
